lat,long,zero_name,first_name,first_type,second_name,second_type,third_name,third_type,zero_type
51.79,0.63,19-25 Purcell Rd,The Specula Company,"['store', 'health', 'point_of_interest', 'establishment']",limo hire in essex,"['car_rental', 'point_of_interest', 'establishment']",Chanel De Beauté,"['beauty_salon', 'point_of_interest', 'establishment']",['route']
51.56,0.21,85-97 Abbs Cross Ln,GEMINI'S,"['point_of_interest', 'establishment']",River Tems,"['point_of_interest', 'establishment']",Hornchurch,"['locality', 'political']",['route']
51.51,-0.03,Grenade Street,Cyril Jackson Primary (North Building),"['school', 'point_of_interest', 'establishment']",Brewster House,"['premise', 'point_of_interest', 'establishment']",London,"['locality', 'political']",['route']
51.55,-0.03,7 Lee Conservancy Rd,Poplar Close (Stop F),"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",Sheila Bartlett,"['health', 'point_of_interest', 'establishment']",London,"['locality', 'political']",['route']
51.67,0.15,London Orbital Motorway,Na,Na,Na,Na,Na,Na,['route']
51.71,0.52,Sandon,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.62,0.33,Brentwood,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.61,0.33,Ingrave,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.68,-0.02,Na,Na,Na,Na,Na,Na,Na,Na
51.59,0.5,Cricketers Way,Takeout Central Basildon,"['restaurant', 'food', 'point_of_interest', 'establishment']",Tracey's Beauty Spot,"['beauty_salon', 'point_of_interest', 'establishment']",Basildon,"['locality', 'political']",['route']
51.52,0.07,London,TradePoint,"['hardware_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",Na,Na,Na,Na,"['locality', 'political']"
51.57,0.02,Bush Road,Hadri Taekwondo Academy - Wanstead,"['health', 'point_of_interest', 'establishment']",Burial Ground,"['cemetery', 'premise', 'point_of_interest', 'establishment']",London,"['locality', 'political']",['route']
51.51,0,Blackwall Way,Neutron Tower,"['lodging', 'point_of_interest', 'establishment']",Londonfx,"['finance', 'point_of_interest', 'establishment']",Switch House,"['point_of_interest', 'establishment']",['route']
51.79,0.65,Witham,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.58,0.36,Southend Arterial Road,West Horndon,"['locality', 'political']",Na,Na,Na,Na,['route']
51.58,0.46,Basildon,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.52,0.05,1051-1157 Newham Way,London,"['locality', 'political']",Na,Na,Na,Na,['route']
51.78,0.59,Hatfield Peverel,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.69,0.49,West Hanningfield,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.68,-0.03,Waltham Cross,Procookware,"['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",Deniz Logistics LTD,"['point_of_interest', 'establishment']",Gls Education Solutions,"['point_of_interest', 'establishment']","['locality', 'political']"
51.68,-0.01,Meridian Way,Waltham Abbey,"['locality', 'political']",Na,Na,Na,Na,['route']
51.67,0.16,Na,Na,Na,Na,Na,Na,Na,Na
51.49,0.01,Tunnel Avenue,Bakers Signs,"['point_of_interest', 'establishment']",London,"['locality', 'political']",Na,Na,['route']
51.64,0.35,32-68 Pine Cres,Super Snippers,"['hair_care', 'point_of_interest', 'establishment']",Brentwood,"['locality', 'political']",Na,Na,['route']
51.92,0.89,Mile End,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
